City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
382,arraial do cabo,-22.9661,-42.0278,20.92,78,0,2.06,BR,1713695181
383,fort bragg,35.139,-79.006,17.08,55,100,2.06,US,1713695181
384,kupang,-10.1667,123.5833,29.32,84,20,3.09,ID,1713695104
385,vega de alatorre,20.0333,-96.6333,25.28,76,53,0.54,MX,1713695182
386,horta,38.5333,-28.6333,16.12,91,75,3.6,PT,1713695183
387,callao,-12.0667,-77.15,23.18,88,20,4.12,PE,1713695183
388,chibougamau,49.9168,-74.3659,-3.21,93,100,3.6,CA,1713695183
389,gao,16.6362,1.637,39.17,4,4,2.22,ML,1713695183
390,jumla,29.2747,82.1838,22.1,12,100,5.08,NP,1713695184
391,oblivskaya,48.5362,42.5014,27.32,30,100,6.95,RU,1713695184
392,nuuk,64.1835,-51.7216,1.34,93,100,22.12,GL,1713695184
393,saint-denis,48.9167,2.3333,10.6,56,75,8.23,FR,1713695185
394,tinghir,31.5157,-5.5343,16.18,46,92,3.64,MA,1713695185
395,los frentones,-26.4077,-61.4137,20.93,90,68,2.26,AR,1713695185
396,santa cruz,-17.8,-63.1667,24.03,88,20,3.09,BO,1713694961
397,ponta delgada,37.7333,-25.6667,18.44,94,75,4.63,PT,1713695054
398,happy valley-goose bay,53.3168,-60.3315,2.17,80,75,4.12,CA,1713695186
399,tazovsky,67.4667,78.7,-13.67,81,99,1.36,RU,1713695187
400,holualoa,19.6228,-155.9522,22.91,88,20,2.57,US,1713695187
401,touba,8.2833,-7.6833,26.51,65,100,3.45,CI,1713695188
402,deir ez-zor,35.3359,40.1408,28.58,25,20,5.98,SY,1713695188
403,sokaraja,-7.4581,109.2881,27.66,87,100,1.39,ID,1713695188
404,zakamensk,50.3741,103.2863,4.12,60,100,4.4,RU,1713695188
405,beyneu,45.3167,55.2,29.82,21,93,11.12,KZ,1713695189
406,catemaco,18.4167,-95.1167,23.84,77,31,1.97,MX,1713695189
407,mitu,1.1983,-70.1733,22.11,98,98,0.5,CO,1713695189
408,nogliki,51.8333,143.1667,0.19,97,100,4.47,RU,1713695189
409,wenchang,30.904,118.4887,16.34,88,100,0.46,CN,1713695190
410,humberto de campos,-2.5983,-43.4611,24.46,94,95,0.97,BR,1713695190
411,shelton,41.3165,-73.0932,4.71,73,0,2.57,US,1713695191
412,inhambane,-23.865,35.3833,27.63,53,0,2.3,MZ,1713695191
413,alakurtti,66.9672,30.3491,-3.1,72,100,2.86,RU,1713695191
414,selfoss,63.9331,-20.9971,6.69,65,15,7.25,IS,1713695191
415,richards bay,-28.783,32.0377,26.88,65,25,5.18,ZA,1713695154
416,lompoc,34.6391,-120.4579,15.52,94,0,2.57,US,1713695192
417,praia da vitoria,38.7333,-27.0667,18.14,88,75,4.45,PT,1713695192
418,luderitz,-26.6481,15.1594,27.07,41,8,3.8,NA,1713695193
419,turbat,26.0023,63.044,33.31,24,2,5.35,PK,1713695193
420,usinsk,65.9939,57.5281,1.15,98,100,8.49,RU,1713695193
421,darwin,-12.4611,130.8418,29.99,48,0,2.57,AU,1713695135
422,margate,51.3813,1.3862,10.17,75,98,5.81,GB,1713695194
423,sinop,41.7711,34.8709,16.08,47,50,1.67,TR,1713695194
424,okhotsk,59.3833,143.3,-0.15,79,100,2.18,RU,1713695194
425,san mateo del mar,16.2,-95.0,27.57,73,10,3.74,MX,1713695195
426,st. john's,47.5649,-52.7093,3.21,91,100,9.77,CA,1713695195
427,dongola,19.1667,30.4833,40.17,6,0,6.32,SD,1713695195
428,snowflake,34.5134,-110.0785,10.41,35,3,3.84,US,1713695196
429,cabo san lucas,22.8909,-109.9124,21.26,66,1,5.73,MX,1713695196
430,altamira,-3.2033,-52.2064,24.05,100,75,0.0,BR,1713695196
431,hastings,50.8552,0.5729,10.99,67,41,9.98,GB,1713695196
432,siocon,7.7061,122.1353,28.24,75,100,2.25,PH,1713695197
433,dieppe bay town,17.413,-62.8153,26.1,86,40,6.69,KN,1713695198
434,linhai,28.85,121.1167,17.16,99,100,0.83,CN,1713695198
435,bridgewater,44.3835,-64.5155,5.82,96,82,2.06,CA,1713695198
436,katsuura,35.1333,140.3,17.45,84,100,1.56,JP,1713695198
437,lanxi,29.2195,119.477,15.68,96,100,1.42,CN,1713695199
438,karratha,-20.7377,116.8463,27.3,36,0,4.11,AU,1713695199
439,tabou,4.423,-7.3528,30.41,70,87,3.24,CI,1713695199
440,limay,14.5333,120.55,30.93,56,83,3.92,PH,1713694996
441,ketchikan,55.3422,-131.6461,10.26,71,100,6.69,US,1713695200
442,saint-joseph,-21.3667,55.6167,27.83,74,100,1.6,RE,1713695200
443,kiziltepe,37.1933,40.585,25.2,38,0,3.09,TR,1713695201
444,nar'yan-mar,67.6713,53.087,-9.94,93,100,9.39,RU,1713695141
445,satka,55.0425,59.04,22.23,47,38,2.53,RU,1713695201
446,mariestad,58.7097,13.8237,5.21,50,99,4.81,SE,1713695201
447,chaibasa,22.5667,85.8167,43.49,11,21,4.68,IN,1713695201
448,pergamino,-33.89,-60.5736,18.17,87,100,0.85,AR,1713695202
449,berezovyy,51.6667,135.7,1.03,98,100,0.74,RU,1713695202
450,santa isabel,-23.3156,-46.2214,17.84,92,98,1.81,BR,1713695202
451,naberera,-4.2,36.9333,22.7,70,100,4.09,TZ,1713695203
452,kudahuvadhoo,2.6708,72.8944,30.02,71,35,5.0,MV,1713695203
453,bel ombre,-4.6167,55.4167,29.91,79,20,2.57,SC,1713695203
454,fish town,5.1964,-7.8756,30.28,65,67,2.28,LR,1713695203
455,lubango,-14.9172,13.4925,24.57,40,56,4.62,AO,1713695204
456,scottburgh,-30.2867,30.7532,25.44,71,12,4.97,ZA,1713695204
457,uturoa,-16.7333,-151.4333,28.28,77,63,5.76,PF,1713695205
458,medina,24.4686,39.6142,32.24,9,0,2.57,SA,1713695205
459,takoradi,4.8845,-1.7554,31.05,69,49,4.61,GH,1713695205
460,kapoeta,4.7717,33.5903,34.82,35,78,5.57,SS,1713695205
461,maibong,25.3,93.1667,33.18,37,25,2.63,IN,1713695206
462,moyale,3.5167,39.0584,24.23,72,99,4.74,KE,1713695207
463,okha,53.5739,142.9478,-0.42,95,100,4.92,RU,1713694934
464,pandan,14.0453,124.1694,27.8,79,48,4.5,PH,1713695207
465,ixtapa,20.7,-105.2,20.68,73,24,1.29,MX,1713695030
466,lospalos,-8.5186,127.0025,23.69,87,99,3.09,TL,1713695208
467,qa'en,33.7265,59.1844,24.14,16,13,4.76,IR,1713695208
468,punta arenas,-53.15,-70.9167,5.06,81,20,5.66,CL,1713695209
469,alterosa,-21.2492,-46.1431,14.43,94,0,1.57,BR,1713695209
470,bikenibeu village,1.3673,173.1241,27.98,83,75,4.63,KI,1713695209
471,selty,57.3132,52.1345,16.92,36,36,3.05,RU,1713695209
472,penzance,50.1186,-5.5371,14.31,72,14,2.6,GB,1713695210
473,tralee,52.2704,-9.7026,14.14,67,18,1.03,IE,1713695210
474,baijiantan,45.6333,85.1833,25.71,19,0,3.68,CN,1713695211
475,sittwe,20.15,92.9,30.23,70,75,4.79,MM,1713695211
476,hun,29.1268,15.9477,35.19,9,99,10.74,LY,1713695212
477,chagny,46.9095,4.7519,8.27,70,100,5.51,FR,1713695212
478,tazacorte,28.629,-17.9293,20.64,75,75,4.02,ES,1713695212
479,kilju,40.9642,129.3278,12.09,87,88,1.45,KP,1713695214
480,midvagur,62.0511,-7.1939,8.46,93,100,1.54,FO,1713695214
481,alaghsas,17.0187,8.0168,38.94,6,7,7.2,NE,1713695214
482,botshabelo,-29.2702,26.7052,26.65,24,4,4.37,ZA,1713695215
483,onverwacht,5.5833,-55.1833,24.92,100,20,0.51,SR,1713695215
484,kununurra,-15.7667,128.7333,25.99,47,7,2.06,AU,1713695086
485,bayside,40.8424,-124.0637,10.39,95,0,1.54,US,1713695216
486,maceio,-9.6658,-35.7353,25.69,94,20,2.06,BR,1713695216
487,kristiansund,63.1115,7.732,7.36,61,40,3.09,NO,1713695216
488,hovd,48.0056,91.6419,11.46,20,98,1.68,MN,1713695217
489,atasu,48.6814,71.6433,23.92,24,1,9.44,KZ,1713695217
490,belyy yar,53.6039,91.3903,9.94,25,0,2.0,RU,1713695217
491,cidade velha,14.9167,-23.6167,25.26,57,20,6.17,CV,1713695217
492,pontiac,42.6389,-83.2911,3.89,60,100,4.63,US,1713695218
493,zapadnaya dvina,56.259,32.0745,5.39,93,100,3.83,RU,1713695218
494,hilo,19.7297,-155.09,22.93,92,100,2.06,US,1713695218
495,teknaf,20.8624,92.3058,30.35,70,43,4.75,BD,1713695218
496,ghlin,50.4761,3.9037,10.08,70,75,8.23,BE,1713695219
497,rabaul,-4.1967,152.1721,28.9,71,7,0.98,PG,1713695219
498,malabar,-33.9667,151.25,18.4,78,0,3.6,AU,1713695219
499,slantsy,59.1182,28.0914,8.38,54,38,0.96,RU,1713695219
500,zhezkent,50.9311,81.3615,17.09,35,4,8.37,KZ,1713695219
501,girua,-28.0283,-54.3497,13.27,81,0,2.49,BR,1713695221
502,zhezqazghan,47.7833,67.7667,24.32,27,0,10.0,KZ,1713695221
503,wacheng,33.7833,114.5167,22.93,57,90,3.32,CN,1713695221
504,palmer,42.1584,-72.3287,3.23,83,0,2.57,US,1713695222
505,burang,30.25,81.1667,5.96,32,20,4.31,CN,1713695222
506,nouadhibou,20.931,-17.0347,19.41,72,68,8.08,MR,1713695222
507,vilyuysk,63.7553,121.6247,0.56,100,100,3.58,RU,1713695223
508,torghay,49.6339,63.4981,27.25,25,0,7.81,KZ,1713695223
509,mariental,-24.6333,17.9667,32.69,16,9,6.52,NA,1713695223
510,rosales,15.8944,120.6328,30.47,48,7,4.1,PH,1713695224
511,tarime,-1.35,34.3667,24.04,69,89,2.4,TZ,1713695225
512,sao gabriel da cachoeira,-0.1303,-67.0892,22.68,100,100,0.46,BR,1713695225
513,iranshahr,27.2025,60.6848,32.19,22,40,3.09,IR,1713695225
514,kidal,18.4411,1.4078,38.53,4,46,3.77,ML,1713695225
515,firuzabad,28.8438,52.5707,24.52,23,0,3.63,IR,1713695226
516,al hudaydah,14.7978,42.9545,32.97,60,100,4.9,YE,1713695226
517,sanctuary point,-35.1114,150.629,18.75,83,36,0.5,AU,1713695226
518,kapuskasing,49.4169,-82.4331,-1.95,86,100,4.63,CA,1713695226
519,grand-bassam,5.2118,-3.7388,31.98,68,76,4.93,CI,1713695227
520,eyl,7.9803,49.8164,32.17,59,92,4.5,SO,1713695227
521,marsa alam,25.0757,34.8918,27.58,50,0,9.59,EG,1713695008
522,abu jibeha,11.4562,31.2285,39.37,13,63,3.37,SD,1713695227
